Time,Flowrate
0.000000e+00,0.000000e+00
1.000000e-02,1.906198e-05
2.000000e-02,3.800643e-05
3.000000e-02,5.671656e-05
4.000000e-02,7.507702e-05
5.000000e-02,9.297459e-05
6.000000e-02,1.102990e-04
7.000000e-02,1.269433e-04
8.000000e-02,1.428050e-04
9.000000e-02,1.577862e-04
1.000000e-01,1.717947e-04
1.100000e-01,1.847439e-04
1.200000e-01,1.965542e-04
1.300000e-01,2.071526e-04
1.400000e-01,2.164739e-04
1.500000e-01,2.244605e-04
1.600000e-01,2.310633e-04
1.700000e-01,2.362415e-04
1.800000e-01,2.399632e-04
1.900000e-01,2.422054e-04
2.000000e-01,2.429543e-04
2.100000e-01,2.422054e-04
2.200000e-01,2.399632e-04
2.300000e-01,2.362415e-04
2.400000e-01,2.310633e-04
2.500000e-01,2.244605e-04
2.600000e-01,2.164739e-04
2.700000e-01,2.071526e-04
2.800000e-01,1.965542e-04
2.900000e-01,1.847439e-04
3.000000e-01,1.717947e-04
3.100000e-01,1.577862e-04
3.200000e-01,1.428050e-04
3.300000e-01,1.269433e-04
3.400000e-01,1.102990e-04
3.500000e-01,9.297459e-05
3.600000e-01,7.507702e-05
3.700000e-01,5.671656e-05
3.800000e-01,3.800643e-05
3.900000e-01,1.906198e-05
4.000000e-01,1.214772e-05
4.100000e-01,1.214772e-05
4.200000e-01,1.214772e-05
4.300000e-01,1.214772e-05
4.400000e-01,1.214772e-05
4.500000e-01,1.214772e-05
4.600000e-01,1.214772e-05
4.700000e-01,1.214772e-05
4.800000e-01,1.214772e-05
4.900000e-01,1.214772e-05
5.000000e-01,1.214772e-05
5.100000e-01,1.214772e-05
5.200000e-01,1.214772e-05
5.300000e-01,1.214772e-05
5.400000e-01,1.214772e-05
5.500000e-01,1.214772e-05
5.600000e-01,1.214772e-05
5.700000e-01,1.214772e-05
5.800000e-01,1.214772e-05
5.900000e-01,1.214772e-05
6.000000e-01,1.214772e-05
6.100000e-01,1.214772e-05
6.200000e-01,1.214772e-05
6.300000e-01,1.214772e-05
6.400000e-01,1.214772e-05
6.500000e-01,1.214772e-05
6.600000e-01,1.214772e-05
6.700000e-01,1.214772e-05
6.800000e-01,1.214772e-05
6.900000e-01,1.214772e-05
7.000000e-01,1.214772e-05
7.100000e-01,1.214772e-05
7.200000e-01,1.214772e-05
7.300000e-01,1.214772e-05
7.400000e-01,1.214772e-05
7.500000e-01,1.214772e-05
7.600000e-01,1.214772e-05
7.700000e-01,1.214772e-05
7.800000e-01,1.214772e-05
7.900000e-01,1.214772e-05
8.000000e-01,1.214772e-05
